judul;link;sumber
Pemprov Jatim Siap Tarik Pajak Mobil Listrik, Mulai Diberlakukan April 2026?;https://madura.tribunnews.com/news/229694/pemprov-jatim-siap-tarik-pajak-mobil-listrik-mulai-diberlakukan-april-2026;Tribun Madura
Pulang Mancing, Remaja di Banyuwangi Syok Temukan Jasad Bayi di Sungai Bersama Tumpukan Sampah;https://madura.tribunnews.com/tapal-kuda/229693/pulang-mancing-remaja-di-banyuwangi-syok-temukan-jasad-bayi-di-sungai-bersama-tumpukan-sampah;Tribun Madura
Benda Mirip Torpedo Ditemukan di Kangean Sumenep, Polisi Pasang Police Line dan Libatkan Gegana;https://madura.tribunnews.com/madura/229692/benda-mirip-torpedo-ditemukan-di-kangean-sumenep-polisi-pasang-police-line-dan-libatkan-gegana;Tribun Madura
Siswa-Guru SMPN Blega Bangkalan Dilarikan ke Puskesmas Usai Mengeluh Pusing dan Muntah setelah Makan;https://madura.tribunnews.com/madura/229691/siswa-guru-smpn-blega-bangkalan-dilarikan-ke-puskesmas-usai-mengeluh-pusing-dan-muntah-setelah-makan;Tribun Madura
Dari Kisah Adipati hingga Mendunia, Ini Sejarah, Ciri Khas dan Cara Membuat Sate Madura;https://madura.tribunnews.com/madura/229690/dari-kisah-adipati-hingga-mendunia-ini-sejarah-ciri-khas-dan-cara-membuat-sate-madura;Tribun Madura
Sosok Bahlil Lahadalia, Menteri ESDM yang Umumkan Harta Karun Gas Raksasa di Kutai;https://madura.tribunnews.com/gebrakan-sang-pemimpin/229689/sosok-bahlil-lahadalia-menteri-esdm-yang-umumkan-harta-karun-gas-raksasa-di-kutai;Tribun Madura
Persib Bandung vs Arema FC, Singo Edan Maksimalkan Persiapan Hadapi Laga Tandang;https://madura.tribunnews.com/superball/229688/persib-bandung-vs-arema-fc-singo-edan-maksimalkan-persiapan-hadapi-laga-tandang;Tribun Madura
Sidang Korupsi BSPS Sumenep Bergulir, Pengamat Desak Terdakwa Bongkar Aktor Besar;https://madura.tribunnews.com/madura/229687/sidang-korupsi-bsps-sumenep-bergulir-pengamat-desak-terdakwa-bongkar-aktor-besar;Tribun Madura
5 Fakta Menarik Universitas Madura, Kampus Swasta di Pamekasan yang Konsisten Berkembang sejak 1978;https://madura.tribunnews.com/madura/229686/5-fakta-menarik-universitas-madura-kampus-swasta-di-pamekasan-yang-konsisten-berkembang-sejak-1978;Tribun Madura
Perda sudah Ada, DPRD Sumenep Nilai Perlindungan Pasar Tradisional belum Maksimal;https://madura.tribunnews.com/madura/229685/perda-sudah-ada-dprd-sumenep-nilai-perlindungan-pasar-tradisional-belum-maksimal;Tribun Madura
31 Raperda Masuk Propemperda 2026, DPRD Sumenep Prioritaskan Aset dan Ekonomi Warga;https://madura.tribunnews.com/madura/229684/31-raperda-masuk-propemperda-2026-dprd-sumenep-prioritaskan-aset-dan-ekonomi-warga;Tribun Madura
Pulau Gili Iyang, Destinasi Wisata Kesehatan dengan Oksigen Tinggi di Sumenep;https://madura.tribunnews.com/travel/229683/pulau-gili-iyang-destinasi-wisata-kesehatan-dengan-oksigen-tinggi-di-sumenep;Tribun Madura
DLH Sampang Minta SPPG Kelola Sampah Mandiri: Silakan Buang Langsung ke TPA;https://madura.tribunnews.com/madura/229682/dlh-sampang-minta-sppg-kelola-sampah-mandiri-silakan-buang-langsung-ke-tpa;Tribun Madura
DPRD Sumenep Ketatkan Izin Toko Modern, Tak Boleh Dekat Pasar Tradisional;https://madura.tribunnews.com/madura/229681/dprd-sumenep-ketatkan-izin-toko-modern-tak-boleh-dekat-pasar-tradisional;Tribun Madura
Sosok Dedi Mulyadi, Gubernur Jawa Barat yang Tanggapi Kasus Siswa Purwakarta Hina Guru;https://madura.tribunnews.com/news/229680/sosok-dedi-mulyadi-gubernur-jawa-barat-yang-tanggapi-kasus-siswa-purwakarta-hina-guru;Tribun Madura
93 Desa belum Punya Lahan KDMP, DPRD Sumenep Desak Perda Pemanfaatan Aset;https://madura.tribunnews.com/madura/229679/93-desa-belum-punya-lahan-kdmp-dprd-sumenep-desak-perda-pemanfaatan-aset;Tribun Madura
Calon Mahasiswa Asal Papua Pilih UTM untuk UTBK, Peserta dari Sumenep Berangkat Jam 2 Dini Hari;https://madura.tribunnews.com/madura/229678/calon-mahasiswa-asal-papua-pilih-utm-untuk-utbk-peserta-dari-sumenep-berangkat-jam-2-dini-hari;Tribun Madura
Hadapi Kekeringan Ekstrem 2026, BPBD Sampang Ajukan Bantuan Tandon Air;https://madura.tribunnews.com/madura/229677/hadapi-kekeringan-ekstrem-2026-bpbd-sampang-ajukan-bantuan-tandon-air;Tribun Madura
Hari Kartini 2026, Refleksi Perjuangan RA Kartini dan Seruan Megawati untuk Perempuan;https://madura.tribunnews.com/news/229676/hari-kartini-2026-refleksi-perjuangan-ra-kartini-dan-seruan-megawati-untuk-perempuan;Tribun Madura
Sukses! Pemkab Sumenep Fasilitasi Mudik Gratis dengan KMP DBS III PT Sumekar;https://madurachannel.id/sukses-pemkab-sumenep-fasilitasi-mudik-gratis-dengan-kmp-dbs-iii-pt-sumekar/;Madura Channel
Menkeu Beri Sinyal Positif KEK Tembakau Madura, Pemuda Minta Daerah Segera Tindak Lanjuti;https://madurachannel.id/menkeu-beri-sinyal-positif-kek-tembakau-madura-pemuda-minta-daerah-segera-tindak-lanjuti/;Madura Channel
“Our Power, Our Planet”: Romli Ajak Generasi Muda Jatim Wujudkan Perubahan Kecil Berdampak Besar;https://madurachannel.id/our-power-our-planet-romli-ajak-generasi-muda-jatim-wujudkan-perubahan-kecil-berdampak-besar/;Madura Channel
Diserbu Warga, Grand Opening Istana Perabot Serba 2000 di Bukabu Ambunten Berlangsung Meriah;https://madurachannel.id/diserbu-warga-grand-opening-istana-perabot-serba-2000-di-bukabu-ambunten-berlangsung-meriah/;Madura Channel
Imbau Petani Tembakau Kurangi Jumlah Tanam, CEO PT. Bawang Mas: Stok Tahun Sebelumnya Masih Tersisa di Sejumlah Pabrik;https://madurachannel.id/imbau-petani-tembakau-kurangi-jumlah-tanam-ceo-pt-bawang-mas-stok-tahun-sebelumnya-masih-tersisa-di-sejumlah-pabrik/;Madura Channel
Viral! Makam Sepanjang 5 Meter Ditemukan di Sumenep, Warganet Curigai Settingan Demi Cuan;https://madurachannel.id/viral-makam-sepanjang-5-meter-ditemukan-di-sumenep-warganet-curigai-settingan-demi-cuan/;Madura Channel
Dosen ini Bongkar Rahasia Raup Milyaran dari Digital Marketing di RRI Sumenep;https://madurachannel.id/dosen-ini-bongkar-rahasia-raup-milyaran-dari-digital-marketing-di-rri-sumenep/;Madura Channel
Hari Bapak Pramuka Indonesia: Sosok Panutan bagi Generasi Muda;https://madurachannel.id/hari-bapak-pramuka-indonesia-sosok-panutan-bagi-generasi-muda/;Madura Channel
Hari Bapak Pramuka Indonesia, Ketua Kwarcab Sumenep Optimistis Pramuka Lahirkan Pemimpin Masa Depan;https://madurachannel.id/hari-bapak-pramuka-indonesia-ketua-kwarcab-sumenep-optimistis-pramuka-lahirkan-pemimpin-masa-depan/;Madura Channel
Beredar Video Emak-Emak Lempar Sampah Sembarangan, Iskil Fatih: Sumenep akan Jadi “Destinasi Sampah”;https://madurachannel.id/beredar-video-emak-emak-lempar-sampah-sembarangan-iskil-fatih-sumenep-akan-jadi-destinasi-sampah/;Madura Channel
Jalan Terjal Industri Rokok Madura;https://madurachannel.id/jalan-terjal-industri-rokok-madura/;Madura Channel
Hari Bapak Pramuka Indonesia 2025: Ketua Kwarda Sampaikan Pesan Mendalam Tentang Sosok HB IX;https://madurachannel.id/hari-bapak-pramuka-indonesia-2025-ketua-kwarda-sampaikan-pesan-mendalam-tentang-sosok-hb-ix/;Madura Channel
Akan Lapor Polisi! Skandal Gelar Palsu Ketua Komite OSIS Nasional;https://madurachannel.id/akan-lapor-polisi-skandal-gelar-palsu-ketua-komite-osis-nasional/;Madura Channel
Nahas, Maling Motor di Sampang Madura ditangkap Warga dan Motornya dibakar;https://madurachannel.id/nahas-maling-motor-di-sampang-madura-ditangkap-warga-dan-motornya-dibakar/;Madura Channel
Harga Bahan Pokok Turun di Pasar Anom Sumenep Pasca Lebaran 2025;https://madurachannel.id/harga-bahan-pokok-turun-di-pasar-anom-sumenep-pasca-lebaran-2025/;Madura Channel
Tidak Melanggar Aturan, Pemkab Sumenenp Tegaskan Status Plt Dirut Romli Sah secara Hukum;https://madurachannel.id/tidak-melanggar-aturan-pemkab-sumenenp-tegaskan-status-plt-dirut-romli-sah-secara-hukum/;Madura Channel
IKA UNAIR Sumenep Santuni Penyandang Tuna Netra dan Gelar Buka Bersama;https://madurachannel.id/ika-unair-sumenep-santuni-penyandang-tuna-netra-dan-gelar-buka-bersama/;Madura Channel
Peduli Sesama, GEN Bangkalan Bantu Warga Kurang Mampu di Kecamatan Tanah Merah;https://madurachannel.id/peduli-sesama-gen-bangkalan-bantu-warga-kurang-mampu-di-kecamatan-tanah-merah/;Madura Channel
Wujud Kedekatan dengan Masyarakat, BANSER Gapura Salurkan Puluhan Paket Sembako;https://madurachannel.id/wujud-kedekatan-dengan-masyarakat-banser-gapura-salurkan-puluhan-paket-sembako/;Madura Channel
MAB Group dan Haswal Group Lebarkan Sayap, Hadirkan Istana Perabot Serba 2000 di Bluto;https://madurachannel.id/mab-group-dan-haswal-group-lebarkan-sayap-hadirkan-istana-perabot-serba-2000-di-bluto/;Madura Channel
Wujud Kepedulian Insan Pers, Intregrity News Santuni Anak Yatim;https://madurachannel.id/wujud-kepedulian-insan-pers-intregrity-news-santuni-anak-yatim/;Madura Channel
GenWork Soroti Lemahnya Literasi Finansial di Sumenep, Masyarakat Masih Mudah Terjebak Investasi Bodong;https://madurachannel.id/genwork-soroti-lemahnya-literasi-finansial-di-sumenep-masyarakat-masih-mudah-terjebak-investasi-bodong/;Madura Channel
Berkah Ramadan, PT Sakti Abadi Motor Santuni Anak Yatim dan Bagikan Takjil;https://madurachannel.id/berkah-ramadan-pt-sakti-abadi-motor-santuni-anak-yatim-dan-bagikan-takjil/;Madura Channel
Pondok Ramadan Yayasan Nurul Huda Sumenep Diikuti Ratusan Siswa;https://madurachannel.id/pondok-ramadan-yayasan-nurul-huda-sumenep-diikuti-ratusan-siswa/;Madura Channel
Tablet Rasa Laptop, Huawei MatePad Pro 13.2 2026 Hadir dengan OLED 2.8K dan Stylus Canggih untuk Kreator;https://radarmadura.jawapos.com/oto-tekno/2604160041/tablet-rasa-laptop-huawei-matepad-pro-132-2026-hadir-dengan-oled-28k-dan-stylus-canggih-untuk-kreator;Radar Madura
UTM Kukuhkan Empat Profesor, Diharapkan Bisa Memberikan Dampak Positif kepada Masyarakat;https://radarmadura.jawapos.com/bangkalan/2604220036/utm-kukuhkan-empat-profesor-diharapkan-bisa-memberikan-dampak-positif-kepada-masyarakat;Radar Madura
KPK Pinjam Ruangan Polres Sampang, Diduga Periksa Kasus Tipikor Pokmas;https://radarmadura.jawapos.com/hukum-kriminal/2604200036/kpk-pinjam-ruangan-polres-sampang-diduga-periksa-kasus-tipikor-pokmas;Radar Madura
Bukan Sekadar Facelift Hyundai Creta 2026 Hadir Lebih Sporty Modern dan Siap Kuasai Jalanan Indonesia;https://radarmadura.jawapos.com/oto-tekno/2604100038/bukan-sekadar-facelift-hyundai-creta-2026-hadir-lebih-sporty-modern-dan-siap-kuasai-jalanan-indonesia;Radar Madura
https://digital.jawapos.com/newspaper/51310;https://digital.jawapos.com/newspaper/51310;Radar Madura
KPK Periksa Ketua Pokmas, Puluhan Warga Madulang Juga Dipanggil;https://radarmadura.jawapos.com/sampang/2604230003/kpk-periksa-ketua-pokmas-puluhan-warga-madulang-juga-dipanggil;Radar Madura
Terdakwa Buntesh Divonis Lebih Ringan, Korban Pelecehan Mengaku Belum Puas;https://radarmadura.jawapos.com/sampang/2604230007/terdakwa-buntesh-divonis-lebih-ringan-korban-pelecehan-mengaku-belum-puas;Radar Madura
Cari Mobil Keluarga Modern? Ini 7 Pilihan PHEV 7 Seater Terbaik dengan Teknologi Canggih dan Konsumsi Bahan Bakar Efisien;https://radarmadura.jawapos.com/oto-tekno/2604220033/cari-mobil-keluarga-modern-ini-7-pilihan-phev-7-seater-terbaik-dengan-teknologi-canggih-dan-konsumsi-bahan-bakar-efisien;Radar Madura
Samsung Galaxy Watch 7 Resmi Hadir dengan Galaxy AI, Bukan Sekadar Jam Tangan Biasa tapi Asisten Kesehatan Pintar yang Selalu Siaga;https://radarmadura.jawapos.com/oto-tekno/2604130006/samsung-galaxy-watch-7-resmi-hadir-dengan-galaxy-ai-bukan-sekadar-jam-tangan-biasa-tapi-asisten-kesehatan-pintar-yang-selalu-siaga;Radar Madura
Kepala SPPG Mundur Diduga karena Depresi , SPPG Kemala Bhayangkari Cabang Sampang Belum Beroperasi;https://radarmadura.jawapos.com/sampang/2604160005/kepala-sppg-mundur-diduga-karena-depresi-sppg-kemala-bhayangkari-cabang-sampang-belum-beroperasi;Radar Madura
Guru Honorer VS MBG: Negara Bisa Kasih Makan Murid, Tapi Kenapa Gurunya Masih Kelaparan?;https://radarmadura.jawapos.com/video/detail/2089/guru-honorer-vs-mbg-negara-bisa-kasih-makan-murid-tapi-kenapa-gurunya-masih-kelaparan;Radar Madura
Terekam Kamera Pemantau, Aksi Maling Sepeda Motor di Desa Banyuajuh;https://radarmadura.jawapos.com/bangkalan/2604220038/terekam-kamera-pemantau-aksi-maling-sepeda-motor-di-desa-banyuajuh;Radar Madura
Arab Saudi Membeli Peradaban: Proyek MBS Terlampau Gila Atau Jenius?;https://radarmadura.jawapos.com/video/detail/2085/arab-saudi-membeli-peradaban-proyek-mbs-terlampau-gila-atau-jenius;Radar Madura
Huawei Pura 90 Pro Max Resmi Meluncur di China, Flagship Kamera 200 MP dengan Kirin 9030S dan RAM 16 GB Bikin Geger Pasar;https://radarmadura.jawapos.com/oto-tekno/2604220035/huawei-pura-90-pro-max-resmi-meluncur-di-china-flagship-kamera-200-mp-dengan-kirin-9030s-dan-ram-16-gb-bikin-geger-pasar;Radar Madura
Belanja Iuran Jaminan Pekerja Rentan Dianggarkan Miliaran;https://radarmadura.jawapos.com/sumenep/2604230012/belanja-iuran-jaminan-pekerja-rentan-dianggarkan-miliaran;Radar Madura
Percepat Pembangunan, Pemkab dan TNI Luncurkan Program TMMD;https://radarmadura.jawapos.com/bangkalan/2604220037/percepat-pembangunan-pemkab-dan-tni-luncurkan-program-tmmd;Radar Madura
Menjadi Kartini di Ruang Kelas: Dari Kesadaran Diri hingga Melahirkan Generasi Setara;https://radarmadura.jawapos.com/opini/2604210016/menjadi-kartini-di-ruang-kelas-dari-kesadaran-diri-hingga-melahirkan-generasi-setara;Radar Madura
Usulan Formasi CPNS Berkurang, Pemkab Sampang Pertimbangkan Kemampuan Fiskal;https://radarmadura.jawapos.com/sampang/2604220030/usulan-formasi-cpns-berkurang-pemkab-sampang-pertimbangkan-kemampuan-fiskal;Radar Madura
Jadi Korban Penipuan Mantan PMI Setelah Beli Mobil via Media Sosial;https://radarmadura.jawapos.com/pamekasan/2604220028/jadi-korban-penipuan-mantan-pmi-setelah-beli-mobil-via-media-sosial;Radar Madura
Dukung Kapolres Ungkap Kasus Penipuan Jual Beli Mobil, Pokdarkamtibmas Bakal Hadiahi Medali;https://radarmadura.jawapos.com/pamekasan/2604230017/dukung-kapolres-ungkap-kasus-penipuan-jual-beli-mobil-pokdarkamtibmas-bakal-hadiahi-medali;Radar Madura
Cabdindik Dukung Guru Terus Berinovasi, Doakan Masuk Juara EJIES Tingkat Jawa Timur;https://radarmadura.jawapos.com/sumenep/2604100014/cabdindik-dukung-guru-terus-berinovasi-doakan-masuk-juara-ejies-tingkat-jawa-timur;Radar Madura
Sidang Penipuan Oknum LSM Ditunda;https://radarmadura.jawapos.com/pamekasan/2604230006/sidang-penipuan-oknum-lsm-ditunda;Radar Madura
Smartwatch Ringan dan Tahan Lama Huawei Watch Fit 4 Jadi Pilihan Menarik dengan Baterai 10 Hari dan Fitur Lengkap;https://radarmadura.jawapos.com/oto-tekno/2604170048/smartwatch-ringan-dan-tahan-lama-huawei-watch-fit-4-jadi-pilihan-menarik-dengan-baterai-10-hari-dan-fitur-lengkap;Radar Madura
Politikus Gerindra Masuk Daftar Pemeriksaan KPK, Kasus Korupsi Dana Hibah Pemprov Jatim;https://radarmadura.jawapos.com/sampang/2604220001/politikus-gerindra-masuk-daftar-pemeriksaan-kpk-kasus-korupsi-dana-hibah-pemprov-jatim;Radar Madura
Puluhan Perusahaan Konstruksi Mundur, Dalam Lelang Penawaran Proyek Gedung RSUD Syamrabu;https://radarmadura.jawapos.com/bangkalan/2604230001/puluhan-perusahaan-konstruksi-mundur-dalam-lelang-penawaran-proyek-gedung-rsud-syamrabu;Radar Madura
Sapa Legislatif - Trans Jatim Bangkitkan Madura, Solusi Transportasi Publik Dari DPRD Jatim;https://radarmadura.jawapos.com/video/detail/2081/sapa-legislatif-trans-jatim-bangkitkan-madura-solusi-transportasi-publik-dari-dprd-jatim;Radar Madura
Kejari Kembalikan Berkas Penyalahgunaan BBM Subsidi;https://radarmadura.jawapos.com/sumenep/2604230004/kejari-kembalikan-berkas-penyalahgunaan-bbm-subsidi;Radar Madura
komisi pemberantasan korupsi;https://radarmadura.jawapos.com/tag/komisi-pemberantasan-korupsi;Radar Madura
Kembalinya Raja Diesel, Isuzu Panther Mini 2026 Hadir Lebih Modern dengan Fitur Canggih dan Konsumsi BBM Super Irit;https://radarmadura.jawapos.com/oto-tekno/2604170040/kembalinya-raja-diesel-isuzu-panther-mini-2026-hadir-lebih-modern-dengan-fitur-canggih-dan-konsumsi-bbm-super-irit;Radar Madura
Guru, Peran dan Kesehatan Mental;https://radarmadura.jawapos.com/opini/2604190018/guru-peran-dan-kesehatan-mental;Radar Madura
Anggaran Perbaikan Jalan Capai Puluhan Miliar;https://radarmadura.jawapos.com/sumenep/2604230008/anggaran-perbaikan-jalan-capai-puluhan-miliar;Radar Madura
Urban Farming BRInita BRI, Solusi Lahan Sempit dan Penguatan Ekonomi Perempuan;https://radarmadura.jawapos.com/ekonomi-bisnis/2604230014/urban-farming-brinita-bri-solusi-lahan-sempit-dan-penguatan-ekonomi-perempuan;Radar Madura
ASN Penerima PKH Belum Dipanggil, Dinsos-BKPSDM Saling Lempar;https://radarmadura.jawapos.com/bangkalan/2604230002/asn-penerima-pkh-belum-dipanggil-dinsos-bkpsdm-saling-lempar;Radar Madura
Tersenggol di 32 Besar Usai Duel Sengit, Ubaid Tumbang dari Wakil Jepang Tiga Set;https://radarmadura.jawapos.com/sportainment/2604100017/tersenggol-di-32-besar-usai-duel-sengit-ubaid-tumbang-dari-wakil-jepang-tiga-set;Radar Madura
KONI Minta Atlet Konsisten Latihan dan Toreh Prestasi;https://radarmadura.jawapos.com/pamekasan/2604230013/koni-minta-atlet-konsisten-latihan-dan-toreh-prestasi;Radar Madura
Pemkab Sumenep Komitmen Sukseskan Program Desa Cantik;https://radarmadura.jawapos.com/sumenep/2604230010/pemkab-sumenep-komitmen-sukseskan-program-desa-cantik;Radar Madura
Bupati Hadiri Rakornas dengan Mentan, Pemkab Komitmen Kawal Kesejahteraan Petani Minta Dukungan Penuh Pemerintah Pusat;https://radarmadura.jawapos.com/sampang/2604220029/bupati-hadiri-rakornas-dengan-mentan-pemkab-komitmen-kawal-kesejahteraan-petani-minta-dukungan-penuh-pemerintah-pusat;Radar Madura
DPR RI Libatkan UTM dalam Penyusunan RUU Satu Data Indonesia;https://radarmadura.jawapos.com/bangkalan/2604230019/dpr-ri-libatkan-utm-dalam-penyusunan-ruu-satu-data-indonesia;Radar Madura
Warga Sampang Dikukuhkan Guru Besar Untag, Bupati Dorong Generasi Muda Tingkatkan Pengetahuan;https://radarmadura.jawapos.com/nasional/2604100022/warga-sampang-dikukuhkan-guru-besar-untag-bupati-dorong-generasi-muda-tingkatkan-pengetahuan;Radar Madura
Polytron Siapkan Motor Listrik Baru Penantang Kuat di Kelas Menengah, Jarak Tempuh Makin Jauh!;https://radarmadura.jawapos.com/oto-tekno/2604140038/polytron-siapkan-motor-listrik-baru-penantang-kuat-di-kelas-menengah-jarak-tempuh-makin-jauh;Radar Madura
Kanon Sastra Digital, Apakah yang Viral yang Berkualitas?;https://radarmadura.jawapos.com/opini/2604190014/kanon-sastra-digital-apakah-yang-viral-yang-berkualitas;Radar Madura
Kalau Dia Kaya????, Benar-Benar dari Trading Crypto?;https://radarmadura.jawapos.com/video/detail/2087/kalau-dia-kaya-benar-benar-dari-trading-crypto;Radar Madura
Belanja Pegawai 2027 Berpotensi Membengkak;https://radarmadura.jawapos.com/pamekasan/2604100012/belanja-pegawai-2027-berpotensi-membengkak;Radar Madura
Akui Sulit Capai Target, DKUPP Pasca PAD Pasar Naik 50 Persen;https://radarmadura.jawapos.com/sumenep/2604230011/akui-sulit-capai-target-dkupp-pasca-pad-pasar-naik-50-persen;Radar Madura
Vision 2030 NEOM: Kota Masa Depan atau Halusinasi Muhammad Bin Salman?;https://radarmadura.jawapos.com/video/detail/2086/vision-2030-neom-kota-masa-depan-atau-halusinasi-muhammad-bin-salman;Radar Madura
